@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@LoicBl,09:55 - 21 mars 2013,Fin des blagues #carambar  donc fin des blagues de @hoarauguillaume !! #psg,
@mathrac,09:55 - 21 mars 2013,J-3 avant OPA de Apéricube sur #Carambar des questions de culture gé remplacent les blagues pic.twitter.com/8ltClzu5yw photo via @tuxboard,
@46ruedemalville,09:55 - 21 mars 2013,#carambar c'est fini ? ah ouai! Bah enfin! Le papier qui se déchire ou la blague sans la chute ça me faisait pas rire moi,
@Maxime_G85,09:54 - 21 mars 2013,La fin des blagues #Carambar un monde s'écroule !!!#FinDuMonde,
@46ruedemalville,09:53 - 21 mars 2013,#carambar c'est fini? Ah non les mecs! C'est qui le connard qu'à mis une blague sur les juifs a l'imprimerie... On avait dit pas ça!,
@olivia_voila,09:53 - 21 mars 2013,Le coup de l'abandon des blagues #Carambar je pense que c'est une blague et un beau coup de com. A suivre. #buzz,
@xidxs_greg,09:53 - 21 mars 2013,allo! allo quoi!des #carambar sans blague...c'est comme des dents sans carie !,
@ContactAntoine,09:53 - 21 mars 2013,Fin des blagues #carambar le 15 avril ? Et le 1er c'est deuil national ?,
@FlorenceMereo,09:52 - 21 mars 2013,La fin d'une époque ! La blague #carambar tire sa révérence. http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … @antonin_c,
@ccharmoille,09:52 - 21 mars 2013,Va y avoir une grande génération d'humoristes au chômage d'un coup...Help Monsieur Sapin #carambar #findunegeneration,
@Larbi_Tranculay,09:52 - 21 mars 2013,#UnCarambarSansBlagueCestComme Jean-Michel Larqué sans Thierry Roland #carambar,
@tif_antko,09:51 - 21 mars 2013,#OMG fin des blagues (pourries) #Carambar #pauvreToto http://www.francetvinfo.fr/les-blagues-carambar-c-est-fini_286219.html … via @francetvinfo,
@KlarAgora,09:51 - 21 mars 2013,Eh bien moi je suis bien contente que les blagues #Carambar disparaissent au profit de la culture G... http://ht.ly/ji4QI ,
@Insitaction,09:51 - 21 mars 2013,#Carambar arrête ses blagues ?! C'est une blague ?,
@louiedepasteur,09:50 - 21 mars 2013,Mauvaise nouvelle pour tous ceux qui pompent leur vannes sur #carambar ! La marque veut supprimer les mythiques blagues!,
@roxanefavier,09:50 - 21 mars 2013,#KraftFoods confirme la fin des blagues #Carambar à partir du 15 avril : http://huff.to/102Mr0W ,
@DelphineSarfati,09:49 - 21 mars 2013,#carambar arrête des blagues ...tout se perd ! La #fin d une #epoque ,
@alligatorkiss,09:49 - 21 mars 2013,Il ne manquerait plus qu'ils enlèvent les pétards dans les papillotes.. #carambar,
@jurisphone,09:49 - 21 mars 2013,@LeHuffPost #carambar  les bras m'en tombent...,
@PTwicard,09:49 - 21 mars 2013,RIP les blagues #Carambar. Je suis effondré.,
@BatVLT,09:48 - 21 mars 2013,Je vais pleurer je pense.... #Carambar c'est du sérieux ! Le professeur: http://youtu.be/ewkJkJhAVOo  via @youtube,
@GeoGrandjean,09:48 - 21 mars 2013,Les blagues #Carambar c'est fini c'est la fin d'une époque...,
@jeanriguel,09:48 - 21 mars 2013,Depuis ce matin je cherche dans toutes les nécrologies l'auteur des blagues #Carambar !,
@melcgr,09:48 - 21 mars 2013,http://www.huffingtonpost.fr/2013/03/21/la-fin-des-blagues-carambar-15-avril_n_2924515.html?ncid=edlinkusaolp00000003 …  La fin d'une époque #Carambar,
@nath_benoist,09:48 - 21 mars 2013,#Carambar remplace ses blagues par des jeux ludo-éducatifs. Apparemment c'est pas un fake. http://goo.gl/lbqQ4  et http://goo.gl/FzHYD ,
@cic,06:30 - 5 nov. 2018,Si vous croyez que pour s'épanouir il faut entreprendre sa vie votre profil  nous intéresse. Le CIC recrute cette année 2 000 collaborateurs rendez-vous sur https://goo.gl/1o82Wm . #CIC_entreprendresonjobpic.twitter.com/PJkVl9GM1X,
@iftolotfi,09:48 - 21 mars 2013,Fini les blagues #Carambar ! http://bit.ly/13faboH ,
@46ruedemalville,09:47 - 21 mars 2013,#carambar xQu'elle est la fée des sado?La féssée,
@BatVLT,09:46 - 21 mars 2013,Je réitèrec'est un véritable #SCANDALE ! La fin des blagues #Carambar annoncée pour le 15 avril 2013 http://huff.to/14a6FLy  via @LeHuffPost,
@LoiicBesson,09:46 - 21 mars 2013,#Carambar arrête les blagues ? Mais ou #StephaneBak va puiser son inspiration maintenant ?,
@corinep2,09:46 - 21 mars 2013,@ulyssepariser // Ben mince alors .... Moi fan de #carambar,
@Blablatix1,09:46 - 21 mars 2013,Je n'achèterais plus de #Carambar ... : http://www.20min.ch/ro/life/lifestyle/story/La-fin-des-blagues-Carambar-26209288 … #News,
@lifranjp,09:45 - 21 mars 2013,Bientôt la fin des blagues #Carambar ?-Bientôt la fin des blagues #Carambar ? http://www.parismatch.com/Actu-Match/Societe/Depeches/Bientot-la-fin-des-blagues-Carambar-472693/ … via @parismatch,
@Tinnyparlour,09:45 - 21 mars 2013,@Seur_Alex C'est surtout que tu ne manges plus de #Carambar depuis un moment je pense. Honte à toi,
@Blancharddom,09:45 - 21 mars 2013,#Ribery n'interviendra pas en conference de presse à #Clairefontaine ...l'arrêt des blagues #Carambar lui a sapé le moral ..#FranceGeorgie,
@aurelcomb,09:45 - 21 mars 2013,C'est l'heure du gouter! Une minute de silence en hommage à #Carambar qui arrête les blagues...,
@LesBlagounettes,09:44 - 21 mars 2013,@AzValentin bon une dernière Pourquoi les feuilles ne nage pas? - Parce qu'elles ont papier. #Carambar,
@Softonic_fr,09:44 - 21 mars 2013,Blagues #Carambar: une application #Android pour les faire survivre http://ow.ly/ji3wZ ,
@Tussupp,09:44 - 21 mars 2013,Les blagues Carambar c'est fini. Explication d'un clap de fin #carambar http://www.menly.fr/antiseche-actu/179023-blagues-carambar/ …,
@dylaa_n,09:44 - 21 mars 2013,Finis les blagues #Carambar ,
@CharlesNouet,09:44 - 21 mars 2013,Merde #Carambar arrête les blagues. Je vais faire comment pour m'innocenter des blagues pourries que je ferai maintenant ? #RIP au caramel,
@Larbi_Tranculay,09:44 - 21 mars 2013,#UnCarambarSansBlagueCestComme Gillou sans son accordéon #carambar,
@Nanteshype,09:43 - 21 mars 2013,La fin des blagues #Carambar ? http://www.presseocean.fr/actualite/la-fin-des-blagues-carambar-21-03-2013-60982#.UUs4to7N_zM.twitter … @Carambar_France,
@Le_Petit_Robert,09:43 - 21 mars 2013,#Carambar qui arrête ses blagues ??? Il manquerait plus que @LANDEYves ne tweete plus et ce sera la fin du monde ...,
@KuuentinF,09:43 - 21 mars 2013,#Carambar qui arrete les blagues sur les papiers? Je voit plus l'interet d'en mangé la.,
@Zebiiibronn2,09:43 - 21 mars 2013,@BFMTV Qu'est-ce qu'un hamster dans l'espace ? Un hamsteroïde. #Hommage #Carambar,
@cic,23:00 - 27 déc. 2018,Vous cherchez un cadre professionnel épanouissant pour développer votre potentiel ? Le CIC recrute cette année 2 000 collaborateurs. Rdv sur https://goo.gl/LExAiC  #CIC_entreprendresonjobpic.twitter.com/MTl7dWYnjd,
@Morgane_Bn,09:42 - 21 mars 2013,Nooooon les blagues s'arrêtent !!!! #Carambar,
@Lbd1306,09:41 - 21 mars 2013,Apprenez le français à #carambar!http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html … via @LeNouvelObs,
@VincentCrtd,09:40 - 21 mars 2013,Le mythe s'effondre :http://instagram.com/p/XHnENdkHsM/  #Carambar #PlusDeBlagues,
@Rathures,09:40 - 21 mars 2013,Dans un monde qui tombe en ruine le drapeau des humoristes est en berne: les blagues #Carambar s'arrêtent après 50ans de moments hilarants.,
@LaFeeDuRobinet,09:39 - 21 mars 2013,la fin des blagues #carambar #ohnon http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php?utm_source=dlvr.it&utm_medium=twitter …,
@AntoninMarcade,09:39 - 21 mars 2013,Parceque si on tweet pas ça on tweet rien... C'est la fin des blagues #Carambar !!,
@PhilMathe,09:39 - 21 mars 2013,Aïe #Carambar. Fini les blagues place à la culture générale... http://bit.ly/102L6ai ,
@mic_hug,09:38 - 21 mars 2013,#Carambar arrête ses blagues ? Je vais plagier qui moi maintenant ?,
@s_negrel,09:38 - 21 mars 2013,#Carambar : Les blagues menacées ?#non100 blague? #cpaspossiblehttp://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html … via @LeNouvelObs,
@enilemac,09:38 - 21 mars 2013,Je déclare une journée de deuil national pour la fin des blagues Carambar #Carambar,
@mickawou,09:38 - 21 mars 2013,La fin des blagues #Carambar? http://lci.tf1.fr/insolite/les-blagues-carambar-vont-disparaitre-est-ce-bien-serieux-7889499.html …,
@AirsDeGuimauves,09:38 - 21 mars 2013,Un #carambar sans sa blague c'est comme la mer sans les vagues c'est comme les vagues sans l'écume c'est comme l'écume sans le sel.,
@pau_lallement,09:37 - 21 mars 2013,Blagues #Carambar : chronique d'une mort annoncée http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html … via @LeNouvelObs,
@ornikkar,09:37 - 21 mars 2013,#Carambar arrête ses blagues ? ....................  Ah ah ah elle est bonne celle-là !,
@46ruedemalville,09:37 - 21 mars 2013,@Zifou_officiel tu les aimes les #carambar dans le Q ? #GROSPAYDAY @FRINGGUS @KaarisOfficiel1,
@fgu75,09:36 - 21 mars 2013,#carambar va arrêter ses blagues! C'est une catastrophe pour #flamby   qui n'a plus d'espoir de reconversion!,
@MazaikoSama,09:36 - 21 mars 2013,Où est ce que je trouverai l'inspiration pour mes tweets? #carambar,
@46ruedemalville,09:36 - 21 mars 2013,@le_Parisien ah ouai! Bah enfin! Le papier qui se déchire ou la blague sans la chute ça me faisait pas rire moi #carambar,
@presseocean,09:36 - 21 mars 2013,La fin des blagues #Carambar ? http://bit.ly/YIkgSN ,
@Hemmapil,09:36 - 21 mars 2013,Le #Carambar peut-il relever le niveau scolaire ? Sans blague... http://golem13.fr/carambar-cest-du-serieux/ …,
@brainsto,09:36 - 21 mars 2013,Si #Carambar arrête les blagues je fais craquer mon slip.,
@Reponseatout,09:36 - 21 mars 2013,#Carambar arrête ses blagues. Tristesse.http://tinyurl.com/c7xjo54 ,
@La_Fredonneuse,09:36 - 21 mars 2013,#JeudiConfession - J'aime faire des tuiles au #carambar : http://bit.ly/162LYj4  #miam #abracarambar,
@HindGomez,09:34 - 21 mars 2013,Ils viennent juste de comprendre que leurs blagues c'était de la merde x) !!!! #Carambar pic.twitter.com/HDDP97h9Ky,
@GSaintJoanis,09:33 - 21 mars 2013,#Carambar un rêve brisé,
@as_pujol,09:32 - 21 mars 2013,Raconte-moi une blague #Carambar ! #ccirendfouparfois #dissipé (cc @plarad @matdelcroix @Tshekaik ),
@sdeclomesnil,09:32 - 21 mars 2013,Au secours #Carambar dis nous que c'est pas vrai que tu arrête pas les blagues et que c'est un #poissondavril http://bit.ly/ZAHoWl ,
@Alyssaw_,09:32 - 21 mars 2013,J'vais aller m'acheter un paquet de #Carambar. Ds 10 ans ça sera collector. On dira: c'est de là que vient l'expression les blagues carambar,
@RimkAbdulJabbar,09:31 - 21 mars 2013,D'un autre côté pour les blagues et vannes pourries on a toujours Twitter… #Carambar,
@LatwiLa,09:30 - 21 mars 2013,“@morandiniblog: Carambar serait sur le point d'abandonner ses célèbres blagues  #carambar #blague.Enfin ils ont compris que c'était nul!,
@Nannig,09:29 - 21 mars 2013,C'est qui le con qui a fait sauter le pont?? http://www.ozap.com/actu/les-blagues-carambar-c-est-fini/446200/m1 … #carambar #pasdrôle,
@RimkAbdulJabbar,09:29 - 21 mars 2013,“@rakidd: @RimkAbdulJabbar http://www.konbini.com/fr/culture/cen-est-fini-des-blagues-carambar/ …” #Carambar #FiniLesBlaguesPourries :'(,
@lamenace24,09:29 - 21 mars 2013,Arrêtez tout ! #Carambar abandonnerait ses célèbres blagues http://bit.ly/162Nguu ,
@NONO13014,09:29 - 21 mars 2013,J'achèterai a plu jamais un seul #carambar ... Même au caramel !!!#LastRT,
@StephanieZeimet,09:29 - 21 mars 2013,@as_pujol Pourquoi l'hibou est le plus heureux des animaux ? Parce que sa femme est chouette ! #Carambar #Tuveuxjouer,
@Cheat_codezzz,09:28 - 21 mars 2013,#CarambarRien ne va plus !! Crée en 1954 suite à une erreur de fabrication le Carambar va perdre ses blagues.http://bit.ly/YtXGhl ,
@Jules2Gaulm1,09:28 - 21 mars 2013,ALLELUIA!!!! #carambar #LAFINENFINpic.twitter.com/SCpbNfrBqG,
@Marc_Justinelc,09:28 - 21 mars 2013,@bchameroy les informations les plus importantes ne sont même pas relayées sur #BFMTV ! #Carambar,
@macinside,09:28 - 21 mars 2013,quoi c'est la fin des blagues #Carambar ?????? vite une blague !!! pic.twitter.com/5yfcmPC0h4,
@Clepotp,09:28 - 21 mars 2013,RIP les blagues #Carambar !!,
@sxxiang,09:28 - 21 mars 2013,“@LeNouvelObs: Arrêtez tout ! #Carambar abandonnerait ses célèbres blagues &gt;&gt; http://bit.ly/162Nguu  #alloquoi” et alors ?,
@as_pujol,09:27 - 21 mars 2013,@StephanieZeimet Quel est le fruit le plus féminin ? > L'ananas ! (cc @annesophielucie) #carambar,
@lobs,09:27 - 21 mars 2013,Arrêtez tout ! #Carambar abandonnerait ses célèbres blagues >> http://bit.ly/162Nguu  #alloquoi,
@GeekChOux,09:27 - 21 mars 2013,Mince !! Si #carambar arrête ses blagues comment je vais faire !? Ma chérie raffole de carambar :((Krrrkrrr,
@Official_Fripon,09:26 - 21 mars 2013,D'ici un mois les blagues #Carambar auront disparues remplacées par des questions de culturé générale #FinDuneEpoque,
@byvirg,09:26 - 21 mars 2013,oh nooo !!! #Carambar remplace ses blagues par des exercices ludo-éducatifs http://bit.ly/11ko3cr  #stratégie #communication #marketing,
@JUDERCHR,09:26 - 21 mars 2013,Il arrête les blagues dans les #Carambar . Ça plus le coup du chat Malabar si vous pouviez arrêter de violer notre enfance ça serait cool.,
@CinephileMan_,09:25 - 21 mars 2013,Oh non ! #carambar arrête ses blagues ! Même si elles sont nulles c'est quand même dommage ! #sniff,
@0802824095YZ,09:24 - 21 mars 2013,#Carambar - gate : heureusement qu'il reste les questions trivial pursuit dans les apéricubes... http://www.francetvinfo.fr/les-blagues-carambar-c-est-fini_286219.html …”,
@Yvouuu,09:24 - 21 mars 2013,Carambar vient de nous sortir sa meilleur blague EVER#carambar,
@SebLaSouris,09:23 - 21 mars 2013,@benjamingauthey: I'm at Espelette (Espelette Aquitaine) http://4sq.com/15vW7Tx  une destination qui ne manque pas de piment #carambar,
@Bequitoo,09:22 - 21 mars 2013,Aujourd'hui @MatthChamelot est en deuil: c'est la fin des blagues #Carambar (cc. @Kikimolotov ),
@EricLowry14,09:21 - 21 mars 2013,Please bring back the best worst jokes we all love #Carambar !,
@NicoLemarignier,09:20 - 21 mars 2013,#Carambar - gate : heureusement qu'il reste les questions trivial pursuit dans les apéricubes... http://www.francetvinfo.fr/les-blagues-carambar-c-est-fini_286219.html …,
@Cecile__Radio,09:19 - 21 mars 2013,Plus de blagues dans #Carambar avec un peu de chance les papillotes #Revillons prendront exemple.,
@KaneAbdoulCir,09:16 - 21 mars 2013,http://www.konbini.com/fr/culture/cen-est-fini-des-blagues-carambar/ …Fin des blagues carambars sniff y'en a qui n'auront plus rien a raconter lors de leurs 'date'#carambar,
@TiPiLol,09:16 - 21 mars 2013,Et voilà #Carambar c'est terminé. La fin d'une époque le début d'une tyrannie ? Nouvelle blague ? http://ow.ly/jhYr6 ,
@TiPiBlog,09:16 - 21 mars 2013,Et voilà #Carambar c'est terminé. La fin d'une époque le début d'une tyrannie ? Nouvelle blague ? http://ow.ly/jhYr3 ,
@CMNeeded,09:16 - 21 mars 2013,Et voilà #Carambar c'est terminé. La fin d'une époque le début d'une tyrannie ? Nouvelle blague ? http://ow.ly/jhYqX ,
@AgenceTiPi,09:16 - 21 mars 2013,Et voilà #Carambar c'est terminé. La fin d'une époque le début d'une tyrannie ? Nouvelle blague ? http://ow.ly/jhYkb ,
@TravisBigleux,09:15 - 21 mars 2013,Fin des blagues #Carambar : on a tous un collègue qui n'aura plus rien à dire à la machine à café. Une pensée pour lui.,
@alexscks,09:15 - 21 mars 2013,Soyez pas triste de la fin des blagues #Carambar ! Moi je serai toujours la pour vour faire rire. 4ever & ever & ever,
@romainbrami,09:13 - 21 mars 2013,Il semblerait que nos gentils influencer ont reçu un cartable Bakker à 40€ pour relayer le hoax #Carambar repris ici et là,
@Koulikana,09:13 - 21 mars 2013,@morandiniblog: Carambar serait sur le point d'abandonner ses célèbres blagues  #carambar #blague #fin #alimentation'' NOOOOOOOOOOOOOOOOON!,
@Eproms,09:12 - 21 mars 2013,@puremedias Omg qu'elle dommage #CARAMBAR,
@Moustikiller,09:12 - 21 mars 2013,@bchameroy WHAAAAT???!!! Mais c'est la fin d'un monde d'une génération! Remember: Quel cri font les fourmis? Elles cro-ondent!RIP #carambar,
@Najet_Ricci,09:12 - 21 mars 2013,VIDEO La fin des blagues #Carambar annoncée  - L'EXPRESS http://bit.ly/16LvXiR  via @Lexpress #buzz?,
@Cassou__T,09:09 - 21 mars 2013,QUOI ?! Les blagues #Carambar vont disparaitre ?! C'est une blague ?!,
@ELOFONT,09:09 - 21 mars 2013,Dernière blague de #carambar : se prendre pour François Hollande http://www.carambar.fr/ ,
@laurentpierron,09:08 - 21 mars 2013,Les meilleures blagues #carambar étaient celles qui se trouvaient sur le bord du papier et dont tu n'avais jamais la,
@ElYaaMou,09:08 - 21 mars 2013,Je crains le pire ! #tweetprecedent #carambar #suspens,
@AlexisCabarez,09:07 - 21 mars 2013,#Carambar va arrêter ses célèbres blagues  Au moins je n'aurai plus de regret lorsque ce putain de papier se dechirera à l'ouverture!,
@kalhan81,09:07 - 21 mars 2013,Les blagues #Carambar c'est fini...c'est la fin d'une époque :-\,
@Thomas_Cln,09:05 - 21 mars 2013,#Carambar arrête ses blagues ? Ils ont bien raison…,
@lbeurdeley,09:05 - 21 mars 2013,La nouvelle vient de tomber. C'est la fin d'une ère. Les blagues #carambar c'est fini : http://bit.ly/ZAHoWl ,
@ducommunarnaud,09:03 - 21 mars 2013,Trop bien Carambar contribue à rendre les gens moins con ! http://bit.ly/Z2JNcH #Carambar Joke is over !,
@kingcom,09:03 - 21 mars 2013,Et si les #blagues #Carambar disparaissaient ? http://www.letelegramme.com/ig/generales/france-monde/france/buzz-et-si-les-blagues-carambar-disparaissaient-21-03-2013-2043009.php … via @letelegramme #nostalgie,
@Pierre_Lmbrt,09:03 - 21 mars 2013,#Carambar devient sérieux !! #WTF #Culturegénérale #stratégie http://www.konbini.com/fr/culture/cen-est-fini-des-blagues-carambar/ …,
@Benjam1G,09:03 - 21 mars 2013,@MathieuFlex d'accord avec toi pour #Carambar c'est une énième mauvaise blague de plus...,
@PierreSDZ,09:02 - 21 mars 2013,Les blagues #Carambar c'est fini ? http://minu.me/8lbb  via @francetvinfo,
@caplarin,09:01 - 21 mars 2013,C'est comme si je disais un #carambar qui n'a pas de blagues...,
